tag,liga,fecha_partido,kickoff_utc,local,visita,p_modelo_1,p_modelo_X,p_modelo_2,p_mercado_1,p_mercado_X,p_mercado_2,cuota_1,cuota_X,cuota_2,linea_ou,p_over_linea,p_btts,total_modelo,confianza,sellado_git,registrado
BAR-FEY,UCL,09/09/2026,2026-09-09 16:45,Barcelona,Feyenoord,85.3,10.2,4.5,88.1,7.3,4.5,1.08,13.0,21.0,4.5,30.7,48.6,3.67,6,no,2026-09-08
STU-VIK,UCL,09/09/2026,2026-09-09 16:45,Stuttgart,Viking FK,68.5,17.2,14.3,77.3,13.6,9.1,1.24,7.0,10.5,3.5,50.0,66.6,3.67,6,no,2026-09-08
LIV-ATM,UCL,09/09/2026,2026-09-09 19:00,Liverpool,Atlético Madrid,53.8,24.6,21.6,55.6,23.2,21.2,1.71,4.1,4.5,2.5,49.9,56.1,2.67,8,si,2026-09-08
NAP-ARS,UCL,09/09/2026,2026-09-09 19:00,Napoli,Arsenal,22.0,24.7,53.3,18.1,24.7,57.1,5.25,3.85,1.67,2.5,49.9,56.3,2.67,7,si,2026-09-08
PSG-SLO,UCL,09/09/2026,2026-09-09 19:00,Paris Saint-Germain,Slovan Bratislava,91.0,6.2,2.8,91.4,5.9,2.6,1.04,16.0,36.0,4.5,50.0,54.9,4.67,4,si,2026-09-08
SPO-GAL,UCL,09/09/2026,2026-09-09 19:00,Sporting CP,Galatasaray,57.2,23.8,19.0,53.2,24.0,22.8,1.8,4.0,4.2,2.5,49.9,54.7,2.67,8,si,2026-09-08
FEN-ROM,UCL,10/09/2026,2026-09-10 16:45,Fenerbahçe,Roma,37.5,26.5,36.1,28.9,26.8,44.3,3.3,3.55,2.15,2.5,49.9,59.4,2.67,7,si,2026-09-08
PSV-SHA,UCL,10/09/2026,2026-09-10 16:45,PSV Eindhoven,Shakhtar Donetsk,64.6,18.3,17.0,66.3,19.0,14.6,1.43,5.0,6.5,3.5,50.0,68.8,3.67,6,si,2026-09-08
COM-RBL,UCL,10/09/2026,2026-09-10 19:00,Como,RB Leipzig,47.0,21.7,31.4,51.0,24.2,24.8,1.87,3.95,3.85,3.5,50.0,74.2,3.67,6,si,2026-09-08
SLA-LEN,UCL,10/09/2026,2026-09-10 19:00,Slavia Praga,Lens,40.3,26.4,33.3,38.2,27.7,34.1,2.5,3.45,2.8,2.5,49.9,59.3,2.67,6,si,2026-09-08
BMU-BOD,UCL,10/09/2026,2026-09-10 19:00,Bayern München,Bodø/Glimt,81.2,10.9,7.9,86.1,8.0,6.0,1.11,12.0,16.0,4.5,50.0,70.4,4.67,6,si,2026-09-08
MNU-SAB,UCL,10/09/2026,2026-09-10 19:00,Manchester United,Sabah FK,85.0,10.4,4.6,85.3,10.0,4.7,1.11,9.5,20.0,3.5,50.0,49.1,3.67,6,si,2026-09-08
SEV-VAL,La Liga,11/09/2026,2026-09-11 19:00,Sevilla,Valencia,41.6,27.7,30.7,43.5,29.9,26.6,2.2,3.2,3.6,2.5,43.9,54.4,2.43,7,si,2026-09-08
RAC-ALA,La Liga,12/09/2026,2026-09-12 12:00,Racing Santander,Alavés,40.4,27.3,32.3,39.1,26.8,34.1,2.4,3.5,2.75,2.5,45.9,56.1,2.51,6,si,2026-09-08
OSA-ESP,La Liga,12/09/2026,2026-09-12 14:15,Osasuna,Espanyol,50.9,25.7,23.4,44.9,29.0,26.2,2.1,3.25,3.6,2.5,47.4,55.1,2.57,9,si,2026-09-08
ATH-ELC,La Liga,12/09/2026,2026-09-12 16:30,Athletic Club,Elche,57.0,23.3,19.6,67.0,19.4,13.6,1.42,4.9,7.0,2.5,52.4,56.9,2.77,7,si,2026-09-08
RMA-RAY,La Liga,12/09/2026,2026-09-12 19:00,Real Madrid,Rayo Vallecano,76.2,14.9,8.9,84.2,10.5,5.3,1.12,9.0,18.0,3.5,44.6,56.1,3.42,5,si,2026-09-08
CEL-MAL,La Liga,13/09/2026,2026-09-13 12:00,Celta Vigo,Málaga,56.4,24.8,18.8,55.3,25.3,19.4,1.71,3.75,4.9,2.5,45.8,51.5,2.51,7,si,2026-09-08
LEV-BAR,La Liga,13/09/2026,2026-09-13 14:15,Levante,Barcelona,13.2,16.4,70.4,8.5,12.5,78.9,11.0,7.5,1.19,3.5,51.3,66.4,3.73,5,si,2026-09-08
GET-DEP,La Liga,13/09/2026,2026-09-13 16:30,Getafe,Deportivo La Coruña,44.8,31.0,24.2,39.6,33.3,27.1,2.4,2.85,3.5,1.5,58.2,42.3,1.95,5,si,2026-09-08
RSO-ATM,La Liga,13/09/2026,2026-09-13 19:00,Real Sociedad,Atlético Madrid,29.8,25.3,44.9,33.7,26.2,40.1,2.8,3.6,2.35,2.5,53.4,61.4,2.82,7,si,2026-09-08
VIL-BET,La Liga,14/09/2026,2026-09-14 19:00,Villarreal,Real Betis,46.0,25.0,29.0,49.7,25.0,25.3,1.91,3.8,3.75,2.5,54.0,61.7,2.84,6,si,2026-09-08
AEK-LAS,UCL,08/09/2026,2026-09-08 19:00,AEK Atenas,LASK,56.9,20.2,22.9,54.6,23.8,21.6,1.74,4.0,4.4,3.5,50.0,67.7,3.67,,retro,2026-09-09
BRU-AVL,UCL,08/09/2026,2026-09-08 19:00,Club Brugge,Aston Villa,36.1,26.5,37.5,38.3,26.9,34.8,2.5,3.55,2.75,2.5,49.9,54.5,2.67,,retro,2026-09-09
DOR-VIL,UCL,08/09/2026,2026-09-08 19:00,Borussia Dortmund,Villarreal,62.2,19.0,18.8,53.7,23.7,22.6,1.77,4.0,4.2,3.5,50.0,65.5,3.67,,retro,2026-09-09
POR-MCI,UCL,08/09/2026,2026-09-08 19:00,FC Porto,Manchester City,22.8,24.9,52.4,19.2,23.4,57.5,5.0,4.1,1.67,2.5,49.9,51.7,2.67,,retro,2026-09-09
LIL-BET,UCL,08/09/2026,2026-09-08 19:00,Lille,Real Betis,46.0,25.9,28.1,44.3,27.2,28.4,2.15,3.5,3.35,2.5,49.9,53.5,2.67,,retro,2026-09-09
RMA-INT,UCL,08/09/2026,2026-09-08 19:00,Real Madrid,Internazionale,52.8,20.9,26.3,59.3,21.6,19.0,1.61,4.4,5.0,3.5,50.0,69.0,3.67,,retro,2026-09-09
MX-PUMLEÓ,Liga MX,11/09/2026,2026-09-11 03:05,Pumas UNAM,León,59.7,22.7,17.6,44.5,26.3,29.2,2.1,3.55,3.2,2.5,55.1,56.8,2.88,6,si,2026-09-09
